Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2007,Binghamton,18.1102,263,48.189,244,33.7008,55,20.8333,135,50.1042,200,29.0625,148
2007,"Boise St.",19.9203,178,51.5272,167,28.5525,157,18.6722,236,53.9419,83,27.3859,203
2007,"Boston College",23.3592,37,52.6702,141,23.9706,272,14.8068,333,60.7034,3,24.4898,290
2007,"Boston University",19.4229,209,45.9489,285,34.6282,37,20.8218,136,51.1938,168,27.9845,186
2007,"Bowling Green",19.7808,185,50.3132,199,29.9061,127,27.8077,2,45.4144,316,26.7778,230
2007,Bradley,15.8537,328,43.6664,316,40.4799,6,20.1237,169,50.8041,178,29.0722,147
2007,Brown,27.1177,1,38.0898,334,34.7925,35,18.988,223,49.8368,217,31.1752,81
2007,Bucknell,23.0534,49,48.2443,242,28.7023,154,21.1614,118,43.9978,327,34.8409,21
2007,Buffalo,24.6562,7,51.8729,160,23.4708,282,23.2704,48,51.3926,160,25.3369,264
2007,Butler,22.2416,78,37.5927,335,40.1657,7,24.031,32,48.9922,236,26.9767,217
2007,BYU,17.2022,300,53.9969,98,28.8009,150,20.6329,147,54.0095,80,25.3576,261
2007,"Cal Poly",16.388,319,46.0583,283,37.5538,19,17.769,273,48.766,241,33.465,35
2007,"Cal St. Fullerton",16.2234,323,52.9255,133,30.8511,110,19.2627,212,56.4055,27,24.3318,298
2007,"Cal St. Northridge",21.8691,91,56.0721,55,22.0588,305,27.4886,3,42.9224,329,29.589,133
2007,California,17.4444,289,49.9782,206,32.5774,71,17.0175,295,56.1404,31,26.8421,225
2007,Campbell,24.2793,16,46.3964,279,29.3243,139,17.365,288,53.7365,90,28.8985,158
2007,Canisius,18.013,268,52.182,153,29.805,131,20.0089,174,50.5113,189,29.4798,135
2007,Centenary,20.8,141,54.4941,90,24.7059,258,24.0979,28,45.6186,312,30.2835,106
2007,"Central Arkansas",21.6889,98,52.6124,143,25.6987,226,21.7197,99,50.8096,177,27.4707,200
2007,"Central Connecticut",21.4164,108,45.0512,297,33.5324,59,16.2656,316,54.7237,59,29.0107,151
2007,"Central Michigan",25.5528,3,43.6364,317,30.8108,112,27.2227,4,47.7544,274,25.0229,276
2007,"Charleston Southern",16.5571,316,52.2415,152,31.2014,102,15.2097,328,54.1688,72,30.6215,100
2007,Charlotte,20.8432,135,40.6442,328,38.5126,15,20.3626,160,44.6304,320,35.007,19
2007,Chattanooga,20.7634,142,45.4962,293,33.7405,54,16.1808,318,44.3149,325,39.5044,3
2007,"Chicago St.",19.4812,203,53.6792,111,26.8396,202,20.8373,134,54.0438,79,25.1189,273
2007,Cincinnati,17.6045,286,53.588,116,28.8074,149,21.2106,116,44.685,319,34.1043,28
2007,Clemson,13.4294,336,58.346,22,28.2246,167,17.4831,284,57.4324,16,25.0845,275
2007,"Cleveland St.",19.8381,180,49.277,221,30.8849,109,21.6923,101,51.0769,171,27.2308,210
2007,"Coastal Carolina",17.1733,301,54.5067,89,28.32,165,18.4856,246,56.9191,23,24.5953,285
2007,Colgate,22.6296,59,48.1669,247,29.2035,142,20.6678,142,51.0075,173,28.3247,170
2007,"College of Charleston",16.5066,317,51.0044,178,32.4891,73,16.1663,319,55.9815,37,27.8522,191
2007,Colorado,20.8356,136,54.4189,91,24.7456,257,21.0818,121,47.1567,290,31.7614,62
2007,"Colorado St.",22.4852,66,54.7337,80,22.7811,295,20.8769,127,47.7329,275,31.3901,73
2007,Columbia,18.9174,237,48.0912,249,32.9915,64,21.6495,103,48.11,266,30.2405,108
2007,Connecticut,23.5672,33,56.2127,51,20.2201,323,21.1558,120,51.9092,139,26.935,220
2007,"Coppin St.",21.0446,125,53.854,106,25.1014,247,18.2905,257,50.4872,190,31.2223,78
2007,Cornell,20.3266,163,47.7477,257,31.9257,89,19.379,205,51.2938,165,29.3272,140
2007,Creighton,24.0991,25,48.1982,243,27.7027,180,18.5977,241,48.732,245,32.6703,50
2007,Dartmouth,17.3476,293,60.5908,6,22.0616,304,25,18,52.2026,129,22.7974,315
2007,Davidson,19.1824,220,46.6195,275,34.1981,41,17.6763,277,48.0108,268,34.3128,27
2007,Dayton,19.5181,200,52.1446,154,28.3373,164,20.8679,128,49.7318,219,29.4003,138
2007,Delaware,21.4514,105,47.492,260,31.0566,106,20.1479,167,52.403,124,27.4492,201
2007,"Delaware St.",19.2684,215,48.7378,231,31.9938,88,17.7196,274,58.2435,10,24.037,299
2007,Denver,21.0243,127,44.8518,301,34.124,44,14.5985,334,53.6496,93,31.7518,63
2007,DePaul,15.9493,326,55.913,58,28.1377,169,18.5274,243,49.2782,226,32.1944,58
2007,Detroit,17.0413,308,54.574,87,28.3847,162,19.1808,214,44.5554,322,36.2637,8
2007,Drake,23.6704,32,51.8745,159,24.4551,263,17.2903,290,45.4194,315,37.2903,6
2007,Drexel,23.8559,28,51.6066,166,24.5375,262,22.3567,82,53.0247,107,24.6186,284
2007,Duke,20.706,150,53.7236,110,25.5704,235,18.466,247,61.1627,2,20.3713,333
2007,Duquesne,18.5821,249,49.8459,211,31.572,92,18.5231,244,52.7132,114,28.7638,160
2007,"East Carolina",17.9143,276,49.6481,215,32.4376,74,23.0523,57,45.571,313,31.3767,74
2007,"East Tennessee St.",19.1132,224,56.737,41,24.1498,267,20.1183,170,48.8848,238,30.9968,86
2007,"Eastern Illinois",21.8326,93,55.4299,68,22.7376,298,22.3311,84,45.7968,309,31.8721,60
2007,"Eastern Kentucky",15.0123,333,47.8025,256,37.1852,21,15.2687,327,52.0342,135,32.6971,49
2007,"Eastern Michigan",19.6175,197,44.924,299,35.4586,29,20.9524,125,51.1565,169,27.8912,190
2007,"Eastern Washington",22.2479,77,54.0241,97,23.728,279,18.7328,233,53.168,101,28.0992,179
2007,Elon,17.7363,281,53.909,101,28.3547,163,21.3494,109,50.2518,196,28.3988,167
2007,Evansville,23.3224,38,44.58,306,32.0976,87,20.331,162,46.6194,301,33.0496,43
2007,Fairfield,22.996,51,49.499,218,27.505,185,23.1884,53,47.8261,272,28.9855,154
2007,"Fairleigh Dickinson",19.6963,188,53.5358,120,26.7679,204,18.0657,265,59.7628,5,22.1715,321
2007,FIU,18.9989,233,51.6496,165,29.3515,136,18.7757,231,53.9095,85,27.3148,205
2007,Florida,20.2318,169,51.8635,161,27.9048,175,16.853,301,58.4665,8,24.6805,282
2007,"Florida A&M",22.6099,60,52.3788,150,25.0113,250,18.3348,255,42.0726,332,39.5926,2
2007,"Florida Atlantic",20.1167,172,54.9618,76,24.9214,252,19.9661,179,49.5125,224,30.5214,102
2007,"Florida St.",19.1024,225,53.6249,114,27.2727,191,18.7164,235,54.3271,68,26.9565,218
2007,Fordham,21.2831,114,50,204,28.7169,153,20.842,132,52.8067,111,26.3514,241
2007,"Fresno St.",19.6233,196,40.5607,329,39.816,9,15.203,329,54.7686,57,30.0283,114
2007,Furman,18.1493,260,47.955,252,33.8957,51,18.2854,258,56.5907,26,25.1239,272
2007,"Gardner Webb",15.4476,330,45.4148,294,39.1376,11,19.4313,203,56.1137,32,24.455,292
2007,"George Mason",15.2632,332,57.3206,36,27.4163,186,17.4091,287,49.2576,227,33.3333,37
2007,"George Washington",19.0476,229,58.1219,24,22.8304,293,22.6899,71,46.5409,303,30.7692,93
2007,Georgetown,18.5519,250,53.8552,105,27.593,183,20.5499,151,48.5555,251,30.8947,90
2007,Georgia,14.7976,334,52.6981,139,32.5042,72,17.4603,285,48.7982,239,33.7415,32
2007,"Georgia Southern",17.349,292,61.0031,3,21.6479,312,23.7999,39,51.6422,148,24.5579,287
2007,"Georgia St.",22.2278,79,50.6774,189,27.0948,196,17.5809,279,52.8777,109,29.5414,134
2007,"Georgia Tech",17.6541,283,58.3698,21,23.9761,271,23.8524,35,49.1449,231,27.0027,216
2007,Gonzaga,21.4715,104,53.0781,129,25.4505,237,21.3177,111,44.3139,326,34.3684,26
2007,"Grambling St.",20.7436,145,55.9687,57,23.2877,286,22.3863,80,54.5777,62,23.036,311
2007,"Green Bay",23.4479,34,48.6151,235,27.937,174,18.8469,229,48.7403,243,32.4128,56
2007,Hampton,23.0951,46,48.3673,240,28.5376,159,27.9605,1,49.0602,234,22.9793,312
2007,Hartford,20.7273,147,47.1688,263,32.1039,86,20.1084,171,41.0054,336,38.8862,4
2007,Harvard,24.5432,11,55.6049,64,19.8519,326,15.2887,326,55.3349,49,29.3764,139
2007,Hawaii,20.1782,171,57.6392,31,22.1826,303,21.678,102,54.8982,55,23.4239,304
2007,"High Point",17.9961,269,55.1556,71,26.8482,201,19.9491,181,55.4707,47,24.5802,286
2007,Hofstra,20.7597,143,46.9081,268,32.3322,78,22.9705,61,51.5683,153,25.4613,258
2007,"Holy Cross",23.2151,41,50.3915,197,26.3934,213,22.3873,79,46.4139,304,31.1988,79
2007,Houston,18.9234,236,40.0828,331,40.9938,5,22.8952,64,48.11,266,28.9948,152
2007,Howard,20.7566,144,44.002,313,35.2414,32,17.4283,286,58.7814,7,23.7903,302
2007,Idaho,18.1437,261,46.4604,278,35.3959,30,19.5925,198,55.3099,50,25.0975,274
2007,"Idaho St.",19.9277,176,45.5343,292,34.5379,39,16.9144,300,42.3373,331,40.7483,1
2007,Illinois,18.8864,239,48.9087,226,32.2049,80,20.8626,130,50.2508,197,28.8867,159
2007,"Illinois Chicago",19.2182,217,48.6738,232,32.108,85,18.6618,237,48.4297,254,32.9085,46
2007,"Illinois St.",17.297,295,48.5124,238,34.1906,42,20.359,161,51.4872,157,28.1538,175
2007,Indiana,19.0561,228,47.2841,262,33.6598,56,26.1881,9,51.6684,146,22.1436,322
2007,"Indiana St.",22.5841,63,43.5396,318,33.8762,52,19.1221,217,49.8486,216,31.0293,85
2007,Iona,20.2503,168,60.9784,4,18.7713,334,23.389,46,51.8377,141,24.7733,279
2007,Iowa,21.1221,119,51.2966,171,27.5813,184,17.5603,280,52.6316,116,29.8082,126
2007,"Iowa St.",19.2349,216,50.1594,201,30.6057,120,18.9217,228,55.7477,40,25.3306,265
2007,IPFW,18.0801,266,48.1743,246,33.7456,53,24.5474,24,50.0532,203,25.3994,260
2007,IUPUI,23.1701,43,44.1285,310,32.7014,69,18.4486,249,48.218,260,33.3333,37
2007,"Jackson St.",21.5085,102,54.6208,84,23.8707,273,21.8975,95,52.7622,112,25.3403,263
2007,Jacksonville,20.5207,157,53.9051,103,25.5743,233,21.2269,114,49.5618,222,29.2113,144
2007,"Jacksonville St.",18.2015,258,55.4713,66,26.3272,215,21.9329,93,49.975,208,28.0921,181
2007,"James Madison",21.1047,122,52.9442,132,25.951,221,19.6511,192,44.8118,318,35.5372,14
2007,Kansas,17.9651,273,58.7643,18,23.2707,287,20.7765,139,47.3549,286,31.8686,61
2007,"Kansas St.",22.7807,57,50.1013,202,27.118,195,22.3297,85,54.5934,61,23.0769,310
2007,"Kennesaw St.",19.0383,230,53.2875,125,27.6742,181,20.5298,152,55.6291,44,23.8411,301
2007,"Kent St.",17.9294,275,56.6588,42,25.4118,239,21.3224,110,48.693,246,29.9846,116
2007,Kentucky,19.4311,207,52.8045,136,27.7644,178,15.9861,320,50.6516,185,33.3623,36
2007,"La Salle",20.6977,151,56.5581,45,22.7442,297,20.8389,133,51.0486,172,28.1124,178
2007,Lafayette,22.2847,74,38.7169,333,38.9983,12,20.1349,168,49.2293,228,30.6358,99
2007,Lamar,20.7418,146,45.8791,286,33.3791,60,19.4323,202,52.4017,125,28.1659,174
2007,Lehigh,23.4184,36,50.9434,181,25.6382,227,23.3909,45,41.4443,333,35.1648,17
2007,Liberty,17.7068,282,63.2801,1,19.0131,332,21.5261,106,53.0382,106,25.4357,259
2007,Lipscomb,20.041,174,45.8227,287,34.1363,43,22.6064,74,47.234,288,30.1596,112
2007,"LIU Brooklyn",22.8301,56,45.7654,289,31.4045,99,18.617,239,51.6441,147,29.7389,128
2007,"Long Beach St.",18.8649,240,49.0008,224,32.1343,83,18.5201,245,50.0428,204,31.4371,72
2007,Longwood,20.8851,133,55.8014,59,23.3135,285,18.6441,238,56.0696,35,25.2863,267
2007,"Louisiana Lafayette",19.6696,192,57.7181,28,22.6123,301,20.6439,146,54.3561,67,25,277
2007,"Louisiana Monroe",19.1176,223,43.8235,314,37.0588,22,15.399,324,58.1428,11,26.4582,238
2007,"Louisiana Tech",16.025,324,59.3132,16,24.6618,260,23.0178,58,49.8799,213,27.1024,213
2007,Louisville,20.3224,164,48.8757,227,30.8019,113,24.9639,20,48.7734,240,26.2626,244
2007,"Loyola Chicago",23.293,39,54.0436,96,22.6634,300,17.6621,278,52.4758,120,29.8622,122
2007,"Loyola Marymount",19.8616,179,56.9755,39,23.1629,289,19.2363,213,54.1289,74,26.6348,235
2007,"Loyola MD",20.47,158,48.0795,250,31.4505,96,25.9777,12,50,206,24.0223,300
2007,LSU,18.5117,251,57.5103,33,23.978,270,17.5386,281,53.9113,84,28.5501,164
2007,Maine,17.8312,278,50.6428,191,31.526,94,19.8751,188,50.1561,199,29.9688,119
2007,Manhattan,22.548,64,58.6451,20,18.8069,333,25.2408,16,48.7476,242,26.0116,250
